Test 1: Random array,,
ArrayLen,Algo1TimeAvg,Algo2TimeAvg
501,1248712.4,579376.9
1002,4065176.857,1975057.55
1503,9162999.238,4396133.55
2004,16433757.71,7858017.75
2505,25862447.81,12391371.85
3006,42999411.14,20519206.8
3507,56472541.67,25937286.5
4008,68470225.33,32585089.45
4509,85464869.81,41100156.55
5010,106604012.7,50273431.2
,,
Test 2: Random reversed sorted,,
ArrayLen,Algo1TimeAvg,Algo2TimeAvg
501,,
1002,,
1503,,
2004,,
2505,,
3006,,
3507,,
4008,,
4509,,
5010,,
,,
Test 3: Random sorted,,
ArrayLen,Algo1TimeAvg,Algo2TimeAvg
501,,
1002,,
1503,,
2004,,
2505,,
3006,,
3507,,
4008,,
4509,,
5010,,